year,Action,Puzzle,Role Playing,Simulation,Health & Fitness
2008,0,0,0,0,0
2009,0,0,0,0,0
2010,0,0,0,0,4
2011,0,0,0,0,5
2012,0,0,0,0,2
2013,2,2,0,1,5
2014,7,2,3,1,8
2015,5,1,7,2,2
2016,7,5,4,7,5
2017,23,23,10,15,7
2018,14,14,13,10,1
2019,11,9,11,6,0
2020,3,7,10,14,1
2021,0,1,2,0,1
