year,Everyone,Teen,Everyone 10+,Mature 17+
2008,0,0,0,0
2009,0,0,0,0
2010,16,6,1,2
2011,26,7,2,1
2012,31,12,4,1
2013,42,5,5,2
2014,44,14,4,3
2015,49,18,6,4
2016,73,26,8,2
2017,83,36,20,5
2018,54,30,16,2
2019,25,18,19,1
2020,26,18,12,2
2021,2,1,1,0
