from,to,weight
Racing,>1M,15
Racing,100K-1M,1
>1M,4 stars,14
>1M,5 stars,1
100K-1M,4 stars,1
100K-1M,5 stars,0
4 stars,Ads & IAP,11
4 stars,IAP,3
4 stars,None,1
5 stars,Ads & IAP,1
5 stars,IAP,0
5 stars,None,0
Ads & IAP,Free,12
Ads & IAP,Paid,0
IAP,Free,3
IAP,Paid,0
None,Free,0
None,Paid,1
