from,to,weight
Parenting,100K-1M,2
Parenting,>1M,1
100K-1M,4 stars,1
100K-1M,5 stars,1
>1M,4 stars,0
>1M,5 stars,1
4 stars,None,1
4 stars,IAP,0
4 stars,Ads & IAP,0
5 stars,None,0
5 stars,IAP,1
5 stars,Ads & IAP,1
None,Free,1
IAP,Free,1
Ads & IAP,Free,1
