from,to,weight
Educational,0-1K,10463
Educational,1K-100k,7910
Educational,100K-1M,1696
Educational,>1M,990
0-1K,0 stars,7860
0-1K,5 stars,1664
0-1K,4 stars,728
0-1K,3 stars,159
0-1K,1 stars,4
0-1K,2 stars,48
1K-100k,0 stars,774
1K-100k,5 stars,1205
1K-100k,4 stars,4917
1K-100k,3 stars,870
1K-100k,1 stars,4
1K-100k,2 stars,140
100K-1M,0 stars,13
100K-1M,5 stars,107
100K-1M,4 stars,1437
100K-1M,3 stars,134
100K-1M,1 stars,0
100K-1M,2 stars,5
>1M,0 stars,1
>1M,5 stars,37
>1M,4 stars,933
>1M,3 stars,19
>1M,1 stars,0
>1M,2 stars,0
0 stars,Ads,3380
0 stars,None,4585
0 stars,Ads & IAP,375
0 stars,IAP,308
5 stars,Ads,1323
5 stars,None,1226
5 stars,Ads & IAP,307
5 stars,IAP,157
4 stars,Ads,3394
4 stars,None,2187
4 stars,Ads & IAP,1715
4 stars,IAP,719
3 stars,Ads,440
3 stars,None,470
3 stars,Ads & IAP,134
3 stars,IAP,138
1 stars,Ads,0
1 stars,None,7
1 stars,Ads & IAP,0
1 stars,IAP,1
2 stars,Ads,48
2 stars,None,118
2 stars,Ads & IAP,16
2 stars,IAP,11
Ads,Free,8549
Ads,Paid,36
None,Free,7552
None,Paid,1041
Ads & IAP,Free,2543
Ads & IAP,Paid,4
IAP,Free,1317
IAP,Paid,17
