App_Name,Content_Rating,Released,Free,Reviews
TestFlight,4+,2014-07-23T19:48:08Z,True,613670
App Store Connect,4+,2018-06-13T13:27:03Z,True,9786
GitHub,4+,2020-03-17T07:00:00Z,True,8629
Koder Code Editor,4+,2018-12-23T00:13:28Z,True,2694
Working Copy - Git client,4+,2014-11-08T13:56:22Z,True,1981
Textastic Code Editor 9,4+,2016-03-12T09:33:30Z,False,1462
Text Editor.,4+,2019-10-18T07:00:00Z,True,1437
Scriptable,17+,2018-09-21T15:36:44Z,True,1433
Apple Developer,4+,2013-06-03T13:41:42Z,True,1102
WebSSH - SSH Client,4+,2012-03-08T20:02:31Z,True,842
