App_Name,Content_Rating,Released,Free,Maximum_Installs
Words of Wonders: Crossword to Connect Vocabulary,Everyone,"Apr 10, 2018",True,110758785
CodyCross: Crossword Puzzles,Everyone,"Apr 5, 2017",True,80312695
Words Story - Addictive Word Game,Teen,"Oct 10, 2018",True,78881769
Word search,Mature 17+,"Jan 15, 2014",True,69527450
Word Search,Mature 17+,"Dec 1, 2011",True,66115102
4 Pics 1 Word,Everyone,"Feb 13, 2013",True,62503403
Draw Something Classic,Everyone,"Feb 1, 2012",True,58764481
Wordscapes,Everyone,"Jun 14, 2017",True,57011598
Word Link,Everyone,"Oct 29, 2017",True,55477838
4 Fotos 1 Palabra,Everyone 10+,"Jan 22, 2014",True,55290887
