App_Name,Content_Rating,Released,Free,Maximum_Installs
Pinterest,Teen,"Aug 14, 2012",True,615144909
Life360: Family Locator & GPS Tracker for Safety,Everyone,"Apr 7, 2010",True,89652214
Sleep as Android 💤 Sleep cycle smart alarm,Everyone,"Oct 24, 2010",True,21067411
Easy Drawing: How to draw Step by Step,Everyone,"Aug 4, 2017",True,15776563
"Daylio - Diary, Journal, Mood Tracker",Everyone,"Aug 17, 2015",True,12165271
バイトアプリ/バイト探しはタウンワーク,Everyone,"Apr 6, 2011",True,3956235
"Journey: Diary, Journal",Everyone,"Jul 27, 2014",True,3577928
데이트팝,Everyone,"Mar 30, 2015",True,1842099
GreenSnap - 植物・花の名前が判る写真共有アプリ,Teen,"Nov 1, 2015",True,994225
Puppr - Dog Training & Tricks,Everyone,"Jul 27, 2017",True,403632
