App_Name,Content_Rating,Released,Free,Reviews
Roblox,12+,2011-05-26T20:51:47Z,True,6127588
Sniper 3D: Gun Shooting Games,17+,2014-11-10T08:00:00Z,True,2538582
Episode - Choose Your Story,12+,2013-12-18T22:00:20Z,True,2334130
Candy Crush Saga,4+,2012-11-14T14:41:32Z,True,2177394
Toon Blast,12+,2017-08-15T08:15:03Z,True,2119062
Happy Color® – Paint by Number,4+,2018-07-29T22:10:47Z,True,2020726
Golf Clash,12+,2017-01-18T16:59:39Z,True,1887985
Hole.io,12+,2018-06-24T04:28:15Z,True,1887798
Clash Royale,9+,2016-03-02T07:25:45Z,True,1842876
Bowmasters - Multiplayer Game,12+,2016-08-17T20:18:21Z,True,1830342
