App_Name,Content_Rating,Released,Free,Reviews
ZOOM Cloud Meetings,4+,2012-08-15T07:00:00Z,True,2040151
Indeed Job Search,4+,2009-06-08T04:59:49Z,True,1948402
ADP Mobile Solutions,4+,2011-07-13T14:01:08Z,True,1945272
Microsoft Teams,4+,2016-11-02T21:19:53Z,True,1847338
DoorDash - Driver,12+,2019-03-13T16:03:13Z,True,1295034
SAP Concur,4+,2009-10-29T20:18:49Z,True,870699
Scanner App: PDF Document Scan,4+,2015-09-23T08:32:18Z,True,797057
Adobe Scan: PDF Scanner & OCR,4+,2017-05-31T14:12:55Z,True,780382
Genius Scan - Document Scanner,4+,2010-06-22T07:04:27Z,True,728252
USPS Mobile®,4+,2009-12-03T04:50:12Z,True,713294
