App_Name,Content_Rating,Released,Free,Maximum_Installs
"Asphalt 8 Racing Game - Drive, Drift at Real Speed",Everyone 10+,"Aug 20, 2013",True,301248154
Real Racing  3,Everyone,,True,290620964
Need for Speed™ No Limits,Everyone 10+,"Sep 16, 2015",True,158973358
Racing Fever: Moto,Everyone,"Jan 9, 2018",True,90587232
Asphalt 9: Legends,Everyone 10+,"Jul 25, 2018",True,69533883
Top Speed: Drag & Fast Racing,Everyone 10+,"Jul 22, 2015",True,49920225
CSR Racing 2 – Free Car Racing Game,Teen,"Jun 29, 2016",True,47945959
Nitro Nation Drag & Drift Car Racing,Everyone,"Apr 2, 2014",True,45656933
Crash of Cars,Everyone,"Mar 22, 2017",True,28466906
Asphalt Xtreme: Rally Racing,Everyone,"Nov 2, 2016",True,24147331
