App_Name,Content_Rating,Released,Free,Maximum_Installs
WEBTOON,Teen,"Jul 1, 2014",True,85170436
네이버 웹툰 - Naver Webtoon,Teen,"Dec 21, 2010",True,33664301
"MangaToon-Good comics, Great stories",Teen,"Jul 8, 2018",True,25754944
Temple Princess Lost Oz Run,Everyone 10+,"Dec 2, 2018",True,16119024
Draw Cartoons 2: Skeletal Animation Studio,Everyone 10+,"Nov 13, 2015",True,13515595
다음웹툰 - DAUM WEBTOON,Teen,"Jun 9, 2013",True,12570581
Talking James Squirrel - Virtual Pet,Everyone,"Dec 22, 2010",True,12051796
Comics,Teen,"Dec 15, 2010",True,11046129
Marvel Comics,Teen,"Oct 11, 2011",True,10172907
Brazil Funny Memes - Stickers WAStickerApps,Mature 17+,"Oct 25, 2018",True,9602711
