App_Name,Content_Rating,Released,Free,Maximum_Installs
Pokémon GO,Everyone,"Jul 6, 2016",True,404699958
PK XD - Explore and Play with your Friends!,Everyone 10+,"Jul 12, 2019",True,114150310
Harry Potter: Hogwarts Mystery,Teen,"Apr 24, 2018",True,52194146
Ninja Arashi,Teen,"Mar 8, 2017",True,32691147
June's Journey: Hidden Objects,Teen,"Oct 3, 2017",True,31826886
Genshin Impact,Teen,"Sep 26, 2020",True,29751790
Hidden City: Hidden Object Adventure,Everyone,"Jul 10, 2015",True,21543607
Cyber Hunter,Teen,"Apr 22, 2019",True,20146067
Murder in the Alps,Teen,"Oct 2, 2018",True,13141549
Animation Throwdown: The Collectible Card Game,Teen,"Sep 13, 2016",True,11985364
