name,value
Google Maps,4132208
Waze Navigation & Live Traffic,2995938
ParkMobile - Find Parking,1201057
Transit • Subway & Bus Times,128894
SpotHero: #1 Rated Parking App,115771
Exxon Mobil Rewards+,97302
ParkWhiz - #1 Parking App,92475
Radarbot: Speed Cameras & GPS,89889
New York Subway MTA Map,78414
Avenza Maps: Offline Mapping,78075
