name,parent,value
Origin,,
Role Playing,Origin,79
Action,Origin,76
Puzzle,Origin,66
Simulation,Origin,57
Casual,Origin,44
Strategy,Origin,42
Health & Fitness,Origin,41
Education,Origin,40
Adventure,Origin,37
Sports,Origin,33
Shopping,Origin,27
Food & Drink,Origin,24
Travel & Local,Origin,23
Arcade,Origin,18
News & Magazines,Origin,17
Entertainment,Origin,17
Finance,Origin,17
Card,Origin,16
Racing,Origin,16
Productivity,Origin,15
Lifestyle,Origin,15
Word,Origin,12
Music & Audio,Origin,12
Music,Origin,11
Social,Origin,10
Business,Origin,10
Photography,Origin,9
Video Players & Editors,Origin,9
Books & Reference,Origin,8
Maps & Navigation,Origin,8
House & Home,Origin,7
Communication,Origin,7
Art & Design,Origin,6
Weather,Origin,5
Board,Origin,3
Comics,Origin,3
Parenting,Origin,3
Beauty,Origin,2
Dating,Origin,2
Educational,Origin,1
Events,Origin,1
Auto & Vehicles,Origin,1
Tools,Origin,1
Trivia,Origin,1
Medical,Origin,1
