name,value
WW Weight Watchers Reimagined,1658070
Calm: Sleep & Meditation,1337999
MyFitnessPal,1312746
Headspace: Meditation & Sleep,848117
Flo Period & Ovulation Tracker,766091
Carb Manager: Keto Diet App,613798
Noom,609810
"AllTrails: Hike, Bike & Run",602797
Map My Run by Under Armour,599638
Peloton — at home fitness,577043
