App_Name,Content_Rating,Released,Free,Reviews
Lyft,4+,2012-05-31T00:43:05Z,True,10241777
Southwest Airlines,4+,2009-12-18T05:08:49Z,True,4565266
Fly Delta,4+,2010-09-01T06:03:36Z,True,3844586
United Airlines,4+,2011-07-20T01:48:13Z,True,3832380
"Expedia: Hotels, Flights & Car",4+,2011-04-07T03:01:27Z,True,1967800
Lime - Your Ride Anytime,4+,2017-05-09T23:44:43Z,True,1628870
My Disney Experience,4+,2012-08-02T20:14:52Z,True,1527487
Hilton Honors: Book Hotels,4+,2013-04-29T17:45:08Z,True,1386735
Hotels.com: Travel Booking,4+,2019-02-11T08:00:00Z,True,1310956
Uber - Request a ride,4+,2010-05-21T03:11:23Z,True,1224517
