App_Name,Content_Rating,Released,Free,Maximum_Installs
KineMaster - Video Editor,Everyone,"Dec 26, 2013",True,329150030
VLC for Android,Everyone,"Feb 4, 2015",True,259744118
"PowerDirector - Video Editor, Video Maker",Everyone,"Jun 4, 2014",True,106086671
"Omlet Arcade - Screen Recorder, Live Stream Games",Teen,"Jul 17, 2016",True,53735380
GIPHY: GIF & Sticker Keyboard & Maker,Teen,"Mar 25, 2015",True,53590691
"Funimate Video Editor: Music, Transitions, Effects",Teen,"Aug 19, 2016",True,38207911
Triller: Social Video Platform,Teen,"Dec 9, 2015",True,27521965
ABEMA(アベマ) アニメ・ドラマ・映画・オリジナルのテレビ番組が視聴できる動画アプリ,Teen,"Feb 17, 2019",True,18807187
"ActionDirector - Video Editor, Video Editing Tool",Everyone,"Oct 24, 2016",True,14743931
