App_Name,Content_Rating,Released,Free,Reviews
My Verizon,4+,2011-02-03T22:24:42Z,True,4425434
T-Mobile,4+,2012-10-05T22:57:08Z,True,2428970
My Spectrum,4+,2014-12-17T05:49:38Z,True,1254930
DuckDuckGo Privacy Browser,17+,2013-06-27T07:00:00Z,True,1028665
My Sprint Mobile,4+,2012-01-29T01:42:30Z,True,1009728
QR Reader for iPhone,12+,2010-05-02T06:01:13Z,True,640728
AT&T Call Protect,4+,2016-12-20T13:09:29Z,True,593922
Xfinity,4+,2017-04-18T12:21:47Z,True,557818
QR Code Reader ·,4+,2017-02-08T16:07:34Z,True,527367
NETGEAR Nighthawk - WiFi App,4+,2016-09-15T08:19:39Z,True,423987
