App_Name,Content_Rating,Released,Free,Reviews
ZINIO - Magazine Newsstand,17+,2010-04-04T00:49:58Z,True,12547
Word Among Us Mass Edition,4+,2012-10-23T19:18:35Z,True,9807
National Geographic,12+,2011-02-22T03:08:29Z,True,7178
Readly - Unlimited Magazines,17+,2013-03-17T23:40:09Z,True,3545
Sunset Magazine,12+,2018-04-10T19:26:54Z,True,1756
Vogue Knitting,4+,2011-01-24T22:47:13Z,True,1713
Texas Monthly,4+,2012-09-27T15:11:14Z,True,1587
Us Weekly Mag,4+,2017-05-24T23:47:32Z,True,1551
Lifestyle For Men Magazine,17+,2012-09-14T19:43:14Z,True,1426
Mindful Magazine,4+,2015-02-14T08:52:59Z,True,1037
