App_Name,Content_Rating,Released,Free,Maximum_Installs
Instagram,Teen,"Apr 3, 2012",True,3559871277
Snapchat,Teen,"Oct 29, 2012",True,1621265491
"JAUMO Dating - Match, Chat & Flirt with Singles",Mature 17+,"Apr 11, 2012",True,56130779
Karrot - Your local buying & selling community,Teen,"Apr 14, 2020",True,18618756
"LinkedIn Lite: Easy Job Search, Jobs & Networking",Teen,,True,15229000
Between - Private Couples App,Teen,"Nov 20, 2011",True,12540102
Glympse - Share GPS location,Everyone,,True,8212103
pixiv,Mature 17+,"Oct 26, 2010",True,6159313
GLAM - Live video chat,Mature 17+,"Mar 10, 2016",True,2521424
브런치 - 좋은 글과 작가를 만나는 공간,Teen,"Jun 20, 2015",True,1570362
