App_Name,Content_Rating,Released,Free,Reviews
Zillow Real Estate & Rentals,4+,2009-04-29T07:00:00Z,True,5771436
Pinterest,12+,2011-04-28T15:51:13Z,True,3996473
Amazon Alexa,4+,2014-12-10T21:07:10Z,True,3115853
Nest,4+,2011-11-01T10:59:40Z,True,1319082
Trulia Real Estate: Find Homes,4+,2019-02-12T08:00:00Z,True,1087384
Bumble - Dating & Meet People,17+,2014-11-19T02:18:55Z,True,969886
Redfin Real Estate: Find Homes,4+,2009-08-31T07:00:00Z,True,862274
ADT Pulse ®,4+,2010-03-01T08:00:00Z,True,766965
Hinge: Dating & Relationships,17+,2013-02-06T06:50:22Z,True,496169
Evite: Party Invitations,4+,2011-04-21T04:39:28Z,True,465389
