App_Name,Content_Rating,Released,Free,Reviews
Venmo,4+,2010-04-03T05:41:47Z,True,12634191
Wells Fargo Mobile,4+,2009-05-18T07:00:00Z,True,6275778
PayPal: Mobile Cash,4+,2019-02-03T08:00:00Z,True,5962807
Capital One Mobile,4+,2010-12-13T08:00:00Z,True,4476223
Robinhood: Investing for All,4+,2014-12-11T11:33:44Z,True,3769189
Chase Mobile®: Bank & Invest,4+,2008-12-15T08:00:00Z,True,3733043
Discover Mobile,4+,2009-11-17T18:48:07Z,True,3245698
Bank of America Mobile Banking,4+,2019-02-01T08:00:00Z,True,3227999
GEICO Mobile - Car Insurance,4+,2009-10-08T02:09:36Z,True,2931668
Citi Mobile®,4+,2009-01-24T08:00:00Z,True,2588063
