name,value
Flight Pilot Simulator 3D Free,126684225
Shadow Fight 3 - RPG fighting game,109489960
MARVEL Future Fight,95239736
Star Wars™: Galaxy of Heroes,54238932
DC Legends: Fight Superheroes,34067228
Darkness Rises,29018346
Idle Heroes,25855925
Kritika: The White Knights,25135365
Eternium,20070164
Magic Rampage,16532657
