App_Name,Content_Rating,Released,Free,Reviews
WhatsApp Messenger,12+,2009-05-04T02:43:49Z,True,9090956
Marco Polo - Stay in Touch,4+,2014-10-07T17:26:47Z,True,1903982
"Discord - Talk, Chat & Hangout",17+,2015-05-21T07:08:40Z,True,1816136
GroupMe,4+,2010-09-25T23:16:39Z,True,1559725
Google Duo,4+,2016-09-02T00:51:01Z,True,1377443
Plenty of Fish Dating,17+,2010-09-17T02:54:10Z,True,1360663
Facebook,12+,2019-02-05T08:00:00Z,True,1140856
Clubhouse,17+,2020-09-14T07:00:00Z,True,634681
Hoop - Make new friends,12+,2019-05-17T02:38:49Z,True,623216
Life360: Find Family & Friends,4+,2010-08-10T07:00:00Z,True,455646
