App_Name,Content_Rating,Released,Free,Maximum_Installs
Uber - Request a ride,Everyone,"Oct 28, 2010",True,638806478
"Waze - GPS, Maps, Traffic Alerts & Live Navigation",Everyone,,True,378234324
Grab Superapp,Everyone,"May 30, 2013",True,178625683
"Ola, Safe and affordable rides",Everyone,"Jun 1, 2012",True,126466815
"2GIS: directory, map, navigator without internet",Everyone,"Mar 9, 2011",True,93599023
Moovit: All Local Transit & Mobility Options,Everyone,"Mar 28, 2012",True,90803098
Sygic GPS Navigation & Offline Maps,Everyone,"Nov 5, 2010",True,84594576
Yandex Go — taxi and delivery,Everyone,"Oct 25, 2011",True,81134494
99 - Private Driver and Taxi,Everyone,"Aug 1, 2012",True,80512114
inDriver — Better than a taxi,Everyone,"May 18, 2015",True,76090236
