name,value
Venmo,12634191
Wells Fargo Mobile,6275778
PayPal: Mobile Cash,5962807
Capital One Mobile,4476223
Robinhood: Investing for All,3769189
Chase Mobile®: Bank & Invest,3733043
Discover Mobile,3245698
Bank of America Mobile Banking,3227999
GEICO Mobile - Car Insurance,2931668
Citi Mobile®,2588063
