App_Name,Content_Rating,Released,Free,Maximum_Installs
Google Drive,Everyone,"Apr 27, 2011",True,7028265259
Google Calendar,Everyone,"Oct 17, 2012",True,2651720962
Microsoft OneDrive,Everyone,"Aug 28, 2012",True,2056017889
"Microsoft Word: Write, Edit & Share Docs on the Go",Everyone,"Jan 6, 2015",True,1651577965
Samsung Email,Everyone,"Jan 15, 2017",True,1616141394
"Microsoft Excel: View, Edit, & Create Spreadsheets",Everyone,"Jan 6, 2015",True,1521046735
Microsoft PowerPoint: Slideshows and Presentations,Everyone,"Jan 6, 2015",True,1506590187
Samsung Print Service Plugin,Everyone,"Nov 5, 2013",True,1446535469
Google Keep - Notes and Lists,Everyone,"Mar 20, 2013",True,1241023726
Google Docs,Everyone,"Apr 30, 2014",True,1138899116
