name,value
Tiles Hop: EDM Rush!,361997020
Beat Fire - EDM Music & Gun Sounds,40794816
Beat Blade: Dash Dance,25292501
DEEMO,7733726
VOEZ,4793390
ラブライブ！スクールアイドルフェスティバル（スクフェス） - 大人気リズムゲーム,4246989
アイドルマスター シンデレラガールズ スターライトステージ,3048327
BanG Dream! Girls Band Party!,2817263
Cytus II,2238144
Lost in Harmony,1546678
