App_Name,Content_Rating,Released,Free,Maximum_Installs
Google Maps - Navigate & Explore,Everyone,,True,9141671889
Google Street View,Everyone,"Sep 9, 2010",True,1719820254
Google Maps Go,Everyone,"Feb 6, 2018",True,495819547
Booking.com: Hotels and more,Everyone,"Feb 4, 2011",True,416069452
Google Earth,Everyone,"Feb 22, 2010",True,412118070
Navigation for Google Maps Go,Everyone,"Jul 25, 2018",True,403692575
"Tripadvisor: Hotels, Activities & Restaurants",Everyone,"Jul 12, 2010",True,392841385
Where is my Train : Indian Railway Train Status,Everyone,"Jun 20, 2015",True,147665376
Yandex.Navigator,Everyone,"May 22, 2015",True,106068616
"IRCTC Train Booking, PNR Status, Running Status",Everyone,"Apr 2, 2013",True,98230290
