App_Name,Content_Rating,Released,Free,Maximum_Installs
HTC Service Pack,Everyone,"Mar 24, 2014",True,76374212
MX Player Codec (ARMv7 NEON),Everyone,"Dec 20, 2011",True,49842878
MX Player Codec (ARMv6 VFP),Everyone,"Jul 18, 2011",True,48999723
MX Player Codec (ARMv7),Everyone,"Jul 18, 2011",True,43234525
Cardboard,Everyone,"Jun 25, 2014",True,31791465
Condor Passport,Everyone,"Jun 15, 2016",True,17703715
MX Player Codec (ARMv6),Everyone,"Jul 18, 2011",True,13211278
MX Player Codec (ARMv5),Everyone,"Sep 22, 2011",True,12381564
MX Player Codec (Tegra3),Everyone,"Jul 31, 2014",True,11559790
PGT Free 🔧: GFX & Optimizer,Everyone,"May 24, 2018",True,9112106
