App_Name,Content_Rating,Released,Free,Maximum_Installs
Fishdom,Everyone,"Mar 2, 2016",True,220780998
Pixel Art: Color by Number,Everyone,"Oct 16, 2017",True,118863952
Cut the Rope 2,Everyone,"Mar 28, 2014",True,116212073
Bubble Witch 3 Saga,Everyone,"Jan 11, 2017",True,87178303
Disney Frozen Free Fall - Play Frozen Puzzle Games,Everyone,"Dec 12, 2013",True,75096492
Sudoku.com - Free Sudoku,Teen,"Nov 26, 2017",True,60754811
Empires & Puzzles: Epic Match 3,Everyone 10+,"Mar 1, 2017",True,54615726
Two Dots,Everyone,"Nov 12, 2014",True,45336940
Merge Dragons!,Everyone,"Jul 26, 2017",True,39941401
Find Out - Find Something & Hidden Objects,Everyone 10+,"Dec 23, 2019",True,34138210
