App_Name,Content_Rating,Released,Free,Maximum_Installs
Solitaire,Everyone,"Sep 1, 2011",True,129283628
Callbreak Multiplayer,Teen,"Nov 2, 2014",True,86123846
Solitaire,Everyone,"Dec 26, 2013",True,86103506
Zynga Poker ™: Free Texas Holdem Online Card Games,Teen,"Dec 21, 2010",True,83255897
UNO!™,Everyone,"Nov 14, 2018",True,74010135
World Series of Poker WSOP Texas Holdem Poker,Everyone,"Nov 5, 2013",True,56003839
Solitaire,Everyone,"Aug 17, 2016",True,53787481
Yu-Gi-Oh! Duel Links,Teen,"Jan 10, 2017",True,53580651
Hearthstone,Teen,"Dec 16, 2014",True,50021351
Spider Solitaire,Everyone,"Sep 15, 2011",True,42034116
