name,value
My Talking Angela,699944379
Gardenscapes,370753807
Homescapes,347192624
Township,283968815
Hay Day,254944957
Plants vs Zombies™ 2 Free,208578584
Angry Birds 2,195815208
Pet Rescue Saga,193092789
My Talking Hank,152514239
The Simpsons™:  Tapped Out,128560489
