App_Name,Content_Rating,Released,Free,Maximum_Installs
Cat Runner: Decorate Home,Teen,"Nov 3, 2017",True,153947521
Flight Pilot Simulator 3D Free,Everyone,"Feb 23, 2015",True,126684225
"My Bakery Empire - Bake, Decorate & Serve Cakes",Teen,"Oct 3, 2017",True,117443797
Shadow Fight 3 - RPG fighting game,Everyone 10+,"Nov 16, 2017",True,109489960
MARVEL Future Fight,Teen,"Apr 29, 2015",True,95239736
Children's doctor : dentist.,Everyone,"Aug 9, 2017",True,91313706
Avakin Life - 3D Virtual World,Teen,"Dec 10, 2013",True,90161226
City Coach Bus Simulator 2021 - PvP Free Bus Games,Teen,"Jun 10, 2019",True,84788897
Summoners War,Teen,"Jun 2, 2014",True,69388939
Hero Wars – Hero Fantasy Multiplayer Battles,Teen,"Mar 15, 2017",True,65143417
