name,parent,value
Origin,,
Education,Origin,241090
Music & Audio,Origin,154906
Tools,Origin,143988
Business,Origin,143771
Entertainment,Origin,138276
Lifestyle,Origin,118331
Books & Reference,Origin,116728
Personalization,Origin,89210
Health & Fitness,Origin,83510
Productivity,Origin,79698
Shopping,Origin,75256
Food & Drink,Origin,73927
Travel & Local,Origin,67288
Finance,Origin,65466
Arcade,Origin,53792
Puzzle,Origin,51168
Casual,Origin,50813
Communication,Origin,48167
Sports,Origin,47483
Social,Origin,44734
News & Magazines,Origin,42807
Photography,Origin,35552
Medical,Origin,32065
Action,Origin,27555
Maps & Navigation,Origin,26722
Simulation,Origin,23282
Adventure,Origin,23203
Educational,Origin,21308
Art & Design,Origin,18539
Auto & Vehicles,Origin,18280
House & Home,Origin,14369
Video Players & Editors,Origin,14015
Events,Origin,12841
Trivia,Origin,11795
Beauty,Origin,11772
Board,Origin,10588
Racing,Origin,10362
Role Playing,Origin,10034
Word,Origin,8630
Strategy,Origin,8526
Card,Origin,8179
Weather,Origin,7246
Dating,Origin,6524
Libraries & Demo,Origin,5198
Casino,Origin,5076
Music,Origin,4202
Parenting,Origin,3810
Comics,Origin,2862
