App_Name,Content_Rating,Released,Free,Maximum_Installs
Android Auto,Teen,"Mar 19, 2015",True,1976625745
AutoScout24: Buy & sell cars,Everyone,"Apr 7, 2015",True,32747873
"maxim — order taxi, food and groceries delivery",Everyone,"Jun 9, 2012",True,25948237
mobile.de – Germany‘s largest car market,Everyone,"Apr 14, 2020",True,21481894
Speed Camera Radar,Everyone,"Nov 2, 2013",True,14768857
"Штрафы ГИБДД официальные: с фотографией, проверка",Everyone,"Feb 6, 2015",True,14653409
Kolesa.kz — авто объявления,Everyone,"May 21, 2013",True,14049689
Consulta Placa Detran Multa e Fipe,Everyone,"Jan 19, 2016",True,13809510
РосШтрафы Штрафы ГИБДД с фотографией оплата онлайн,Everyone,"Jun 23, 2016",True,12179995
Дром – цены на машины,Everyone,"Sep 23, 2015",True,12136961
