App_Name,Content_Rating,Released,Free,Maximum_Installs
Coin Dozer: Sweepstakes,Teen,"Jun 27, 2011",True,95406186
Teen Patti Gold – Indian Family Card Game,Teen,"Oct 8, 2014",True,80000822
Teen Patti by Octro - Real 3 Patti Game,Teen,"Jul 24, 2013",True,73954893
Slotomania™ Slots: Casino Slot Machine Games,Teen,"Jan 26, 2012",True,63657463
Huuuge Casino™ Free Slots & Best Slot Machines 777,Teen,"Jun 19, 2015",True,37707763
House of Fun: Play Casino Slots,Teen,"Jul 3, 2013",True,33910572
Lucky Day - Win Real Rewards,Teen,"Apr 22, 2015",True,33062041
DH Texas Poker - Texas Hold'em,Teen,"Jul 27, 2012",True,31218428
Vegas Slots - DoubleDown Casino,Teen,"Apr 27, 2012",True,26821377
Caesars Slots: Casino Slots game,Teen,"Aug 26, 2013",True,26403164
