App_Name,Content_Rating,Released,Free,Maximum_Installs
YouTube Music,Teen,"Nov 12, 2015",True,1067343725
YouTube Music,Teen,"Nov 12, 2015",True,1065181427
Spotify: Listen to podcasts & find music you love,Teen,"May 27, 2014",True,1033938669
Samsung Music,Everyone,"Feb 17, 2016",True,862678090
Mi Music,Everyone,"May 26, 2019",True,793353160
Shazam: Discover songs & lyrics in seconds,Teen,,True,552250790
FM Radio,Everyone,"Nov 13, 2013",True,379008865
"SoundCloud - Play Music, Podcasts & New Songs",Teen,"Dec 21, 2010",True,319132635
"Deezer Music Player: Songs, Playlists & Podcasts",Teen,,True,300607105
Smule: Social Karaoke Singing,Teen,"Dec 27, 2012",True,294622295
