name,value
"Flipboard - Latest News, Top Stories & Lifestyle",794295006
detikcom - Berita Terbaru & Terlengkap,19680133
Pocket: Save. Read. Grow.,15966292
Podcast Player,11161547
Feedly - Smarter News Reader,6753273
NDTV India Hindi News,6059034
NHK NEWS & Disaster Info,5669335
Kurio – Baca Berita Terbaru,4363067
(JP)テレビ,4079822
TRILL(トリル) - 女性のファッション、ヘア、メイク、占い、恋愛、美容,2866575
