App_Name,Content_Rating,Released,Free,Reviews
Bible,4+,2019-02-12T08:00:00Z,True,7181127
"Muslim Pro: Quran, Azan, Islam",12+,2010-08-21T00:45:05Z,True,400804
Bible KJV - Daily Bible Verse,4+,2018-04-22T07:54:56Z,True,314515
Night Sky,4+,2011-11-01T17:57:41Z,True,288204
Sky Guide,4+,2013-05-06T19:45:52Z,True,255935
FamilySearch Tree,4+,2014-07-15T07:00:00Z,True,254391
Bible App - Read & Study Daily,4+,2009-10-02T22:47:42Z,True,188260
Ancestry: Your family story,4+,2010-01-19T03:17:36Z,True,186803
Blue Letter Bible,4+,2010-05-17T21:04:36Z,True,183898
Merriam-Webster Dictionary,4+,2010-12-14T15:50:44Z,True,158986
