name,value
Toca Kitchen 2,153769168
Masha and the Bear. Educational Games,123688272
"Truck games for kids - build a house, car wash",114808798
Baby Panda's Supermarket,108975090
Coloring & Learn,81165199
Baby Panda's Fashion Dress Up Game,76954454
Monster Trucks Game for Kids 2,71857875
Baby Panda World,70957986
Little Panda Policeman,64859926
Cooking Mama: Let's cook!,63660606
