name,value
KineMaster - Video Editor,329150030
VLC for Android,259744118
"PowerDirector - Video Editor, Video Maker",106086671
"Omlet Arcade - Screen Recorder, Live Stream Games",53735380
GIPHY: GIF & Sticker Keyboard & Maker,53590691
"Funimate Video Editor: Music, Transitions, Effects",38207911
Triller: Social Video Platform,27521965
ABEMA(アベマ) アニメ・ドラマ・映画・オリジナルのテレビ番組が視聴できる動画アプリ,18807187
"ActionDirector - Video Editor, Video Editing Tool",14743931
