App_Name,Content_Rating,Released,Free,Maximum_Installs
Google Maps - Navigate & Explore,Everyone,,True,9141671889
Booking.com: Hotels and more,Everyone,"Feb 4, 2011",True,416069452
"Gojek - Ojek Taxi Booking, Delivery and Payment",Everyone,"Feb 2, 2015",True,98057412
Airbnb - Vacation Rentals & Experiences,Everyone,"Jan 17, 2012",True,89340164
"MAPS.ME – Offline maps, travel guides & navigation",Everyone,"Jul 31, 2012",True,69424662
BlaBlaCar: Carpooling and bus,Everyone,,True,62988900
"﻿Skyscanner – cheap flights, hotels and car rental",Everyone,"Jul 20, 2011",True,50902289
Agoda,Everyone,"Jul 6, 2011",True,35866316
"Hotels.com: Book Hotels, Vacation Rentals and More",Everyone,"Apr 13, 2011",True,32480764
GasBuddy: Find and Pay for Cheap Gas and Fuel,Everyone,"Aug 27, 2010",True,26592200
