App_Name,Content_Rating,Released,Free,Reviews
WW Weight Watchers Reimagined,12+,2009-09-19T00:05:27Z,True,1658070
Calm: Sleep & Meditation,4+,2013-02-22T20:09:23Z,True,1337999
MyFitnessPal,17+,2009-12-08T02:04:45Z,True,1312746
Headspace: Meditation & Sleep,4+,2012-02-02T18:57:49Z,True,848117
Flo Period & Ovulation Tracker,12+,2015-10-03T22:28:36Z,True,766091
Carb Manager: Keto Diet App,4+,2010-12-30T22:55:05Z,True,613798
Noom,12+,2013-05-09T07:00:00Z,True,609810
"AllTrails: Hike, Bike & Run",9+,2010-12-17T23:35:17Z,True,602797
Map My Run by Under Armour,4+,2008-10-14T05:35:16Z,True,599638
Peloton — at home fitness,12+,2014-02-15T00:26:48Z,True,577043
