App_Name,Content_Rating,Released,Free,Maximum_Installs
Uber Eats: Food Delivery,Everyone,"Feb 29, 2016",True,169142236
Zomato - Online Food Delivery & Restaurant Reviews,Everyone,"Jan 10, 2011",True,132241338
Swiggy Food Order | Online Grocery | Delivery App,Everyone,"Jun 16, 2015",True,96584381
foodpanda - Local Food & Grocery Delivery,Everyone,"Nov 19, 2013",True,73637743
McDonald's,Everyone,"Feb 26, 2018",True,72204011
iFood Delivery de Comida e Mercado,Everyone,"Apr 25, 2012",True,70360304
"Yelp: Find Food, Delivery & Services Nearby",Teen,,True,54298839
Rappi,Mature 17+,"Jul 15, 2015",True,47530692
McDonald's App - Latinoamérica,Everyone,"Mar 27, 2017",True,41635281
Foursquare City Guide,Everyone,,True,41552450
