App_Name,Content_Rating,Released,Free,Maximum_Installs
My Talking Angela,Everyone,"Dec 3, 2014",True,699944379
Gardenscapes,Everyone,"Aug 24, 2016",True,370753807
Homescapes,Everyone,"Sep 19, 2017",True,347192624
Township,Everyone,"Nov 8, 2013",True,283968815
Hay Day,Everyone,"Nov 13, 2013",True,254944957
Plants vs Zombies™ 2 Free,Everyone 10+,,True,208578584
Angry Birds 2,Everyone,"Jul 23, 2015",True,195815208
Pet Rescue Saga,Everyone,"Jun 3, 2013",True,193092789
My Talking Hank,Everyone,"Jan 11, 2017",True,152514239
The Simpsons™:  Tapped Out,Teen,,True,128560489
