App_Name,Content_Rating,Released,Free,Maximum_Installs
Subway Surfers,Everyone 10+,"Sep 20, 2012",True,1704495994
Temple Run,Everyone,"Mar 26, 2012",True,625467333
Fruit Ninja®,Everyone,"Jul 20, 2011",True,500306392
Angry Birds Classic,Everyone,"Oct 15, 2010",True,445623595
Zombie Tsunami,Everyone 10+,"Sep 10, 2013",True,395942266
Hungry Shark Evolution - Offline survival game,Teen,"Feb 22, 2013",True,390613416
Sonic Dash - Endless Running & Racing Game,Everyone,"Nov 26, 2013",True,321167025
Geometry Dash Lite,Everyone,"Sep 15, 2013",True,302542035
Subway Princess Runner,Teen,"Jun 2, 2017",True,295529945
Stack Ball - Blast through platforms,Everyone,"Mar 21, 2019",True,292452121
