name,value
TikTok,10598509
Amazon Prime Video,2498603
Fandango Movie Tickets & Times,1785601
"Ticketmaster－Buy, Sell Tickets",1660632
YouTube Kids,1555165
Hulu: Watch TV series & movies,1386719
Roku - Official Remote Control,1321983
StubHub: Event Tickets,1227369
DIRECTV,1172393
Sandbox - Pixel Art Coloring,856250
