App_Name,Content_Rating,Released,Free,Maximum_Installs
8 Ball Pool,Everyone,"Jan 23, 2013",True,747308036
Pooking - Billiards City,Everyone,"May 15, 2017",True,280522436
FIFA Soccer,Everyone,"Oct 10, 2016",True,259164378
Score! Hero,Everyone,"Nov 19, 2015",True,238877133
Carrom Pool: Disc Game,Everyone,"Mar 26, 2019",True,228781524
Dream League Soccer,Everyone,"Apr 7, 2016",True,218519220
Pool Billiards Pro,Teen,"Feb 28, 2011",True,193858271
Run Race 3D,Everyone,"Mar 8, 2019",True,190283541
World Soccer League,Everyone 10+,"Oct 29, 2015",True,185869844
3D Bowling,Everyone,"Jun 7, 2011",True,178243393
