name,value
"Badoo — The Dating App to Chat, Date & Meet People",286283642
Zoosk - Online Dating App to Meet New People,37576471
OkCupid - The Online Dating App for Great Dates,30823577
"Bumble – Dating, Make New Friends & Networking",28290341
Chat & Date: Dating Made Simple to Meet New People,26392606
Video Call Advice and Live Chat with Video Call,24641362
BLOOM — Premium Dating & Find Real Love,22586384
Dating and Chat - SweetMeet,22354891
Free Dating App & Flirt Chat - Match with Singles,19294429
Galaxy - Chat Rooms: Meet New People Online & Date,18538790
