App_Name,Content_Rating,Released,Free,Maximum_Installs
YouTube,Teen,"Oct 20, 2010",True,9766230924
Google TV (previously Play Movies & TV),Teen,"Jun 3, 2011",True,6156518915
MX Player,Everyone,"Jul 18, 2011",True,957838565
Likee - Let You Shine,Teen,"Jul 26, 2017",True,781086121
YouTube Go,Teen,,True,657837049
VivaVideo - Video Editor & Video Maker,Everyone,"Mar 21, 2013",True,468263624
TikTok,Teen,"May 7, 2017",True,402385713
KineMaster - Video Editor,Everyone,"Dec 26, 2013",True,329150030
Kwai - Watch cool and funny videos,Teen,"Mar 2, 2018",True,308816130
SnackVideo,Teen,"Aug 7, 2019",True,288204275
