App_Name,Content_Rating,Released,Free,Reviews
Audible audiobooks & podcasts,12+,2010-07-10T19:50:29Z,True,3769815
Amazon Kindle,4+,2009-03-04T08:00:00Z,True,3233670
"Libby, by OverDrive",4+,2016-12-12T21:35:54Z,True,1592907
Wattpad - Read & Write Stories,17+,2009-03-08T08:00:00Z,True,552210
Goodreads: Book Reviews,12+,2010-02-16T18:13:24Z,True,389212
Dreame - Read Best Romance,17+,2018-08-13T14:21:26Z,True,160872
Shonen Jump Manga & Comics,12+,2013-03-21T17:27:04Z,True,96255
NOOK,4+,2010-05-27T04:14:05Z,True,94216
Golden Quran | المصحف الذهبي,4+,2014-04-11T21:26:30Z,True,88840
WebComics - Daily Manga,17+,2018-01-23T05:48:59Z,True,61134
