name,parent,value
Origin,,
Games,Origin,193749
Business,Origin,128297
Education,Origin,119174
Utilities,Origin,94007
Lifestyle,Origin,84565
Food & Drink,Origin,73157
Health & Fitness,Origin,60724
Productivity,Origin,59430
Entertainment,Origin,53147
Shopping,Origin,49537
Finance,Origin,44984
Travel,Origin,43726
Sports,Origin,31455
Music,Origin,29898
Medical,Origin,27995
Photo & Video,Origin,25957
Social Networking,Origin,25429
News,Origin,20423
Reference,Origin,18615
Navigation,Origin,12636
Stickers,Origin,12407
Book,Origin,11472
Weather,Origin,3563
Graphics & Design,Origin,2781
Developer Tools,Origin,1951
Magazines & Newspapers,Origin,1297
