App_Name,Content_Rating,Released,Free,Reviews
ESPN Fantasy Sports & More,12+,2012-09-05T01:06:38Z,True,1274874
ESPN: Live Sports & Scores,4+,2009-06-02T06:42:49Z,True,1167290
GameChanger Baseball Softball,4+,2009-06-10T03:07:42Z,True,718652
FOX Bet Super 6,17+,2019-09-06T07:00:00Z,True,564559
DraftKings Fantasy Football,17+,2013-12-21T00:16:17Z,True,469463
CBS Sports App Scores & News,4+,2009-03-17T07:00:00Z,True,429971
NFL,4+,2010-09-10T02:13:00Z,True,393746
NCAA March Madness Live,4+,2011-03-09T06:19:31Z,True,393130
Yahoo Fantasy Football & Daily,17+,2009-09-08T03:58:33Z,True,348196
NBC Sports,4+,2012-07-12T12:43:45Z,True,316075
