App_Name,Content_Rating,Released,Free,Maximum_Installs
"Hindi Songs,Tamil Indian Gana,Bhajan MP3 Music App",Teen,"Jan 15, 2013",True,271388611
"TuneIn Radio: News, Sports & Online Music Stations",Teen,"Sep 2, 2010",True,158758429
JOOX Music,Everyone,,True,142736402
Musixmatch - Lyrics for your music,Teen,"Jul 26, 2011",True,67790812
"KKBOX - Music and podcasts, anytime, anywhere!",Teen,,True,30626746
Music Maker JAM - Song & Beatmaker app,Everyone,"Sep 2, 2013",True,27745293
Podcast Player & Podcast App - Castbox,Everyone 10+,"Apr 15, 2017",True,16144617
Ultimate Guitar: Chords & Tabs,Teen,"Oct 13, 2010",True,15065226
Cifra Club,Everyone,,True,14480264
Anchor - Make your own podcast,Teen,"Sep 28, 2016",True,12812450
