App_Name,Content_Rating,Released,Free,Reviews
Cricut Design Space,4+,2014-06-04T22:10:06Z,True,306916
Sketchbook®,4+,2014-10-09T05:46:40Z,True,211412
Adobe Spark Post: Design Maker,4+,2015-12-17T08:21:02Z,True,184152
Unfold: Story & Collage Maker,4+,2017-06-12T21:36:20Z,True,142351
Mematic - The Meme Maker,12+,2012-02-17T08:00:00Z,True,134335
Word Swag - Cool Fonts,4+,2013-05-27T07:00:00Z,True,105584
Brass - Custom Icons & Widgets,4+,2020-09-25T07:00:00Z,True,97465
Logo Maker Shop: Creator,4+,2017-07-20T05:18:31Z,True,71271
Pixelcut: AI Graphic Designer,4+,2020-11-03T08:00:00Z,True,46686
PhotoRoom Studio Photo Editor,4+,2019-03-26T09:30:20Z,True,42991
