App_Name,Content_Rating,Released,Free,Reviews
Canvas Student,4+,2011-12-08T17:41:59Z,True,2147317
Google Classroom,4+,2015-01-13T08:00:00Z,True,2113858
ClassDojo,4+,2012-09-10T07:00:00Z,True,1889365
Duolingo - Language Lessons,4+,2012-11-13T08:00:00Z,True,1246520
Remind: School Communication,4+,2012-05-03T01:36:04Z,True,1009309
ABCmouse.com,4+,2012-12-14T21:10:46Z,True,599236
Quizlet: Learn with Flashcards,4+,2012-08-09T04:32:24Z,True,527661
PictureThis - Plant Identifier,4+,2017-07-20T10:21:00Z,True,502630
Photomath,4+,2014-10-17T13:56:43Z,True,491503
Epic - Kids' Books & Reading,4+,2013-12-01T08:00:00Z,True,451933
