App_Name,Content_Rating,Released,Free,Reviews
Spotify New Music and Podcasts,12+,2011-07-14T11:22:37Z,True,18893225
Pandora: Music & Podcasts,12+,2019-02-01T08:00:00Z,True,8297798
Shazam: Music Discovery,12+,2019-02-09T08:00:00Z,True,5895638
Musi - Simple Music Streaming,12+,2013-01-11T21:13:23Z,True,2235870
Amazon Music: Songs & Podcasts,12+,2012-06-12T02:53:05Z,True,1382302
"SiriusXM:Music,Podcast&Sports",17+,2009-06-18T07:00:00Z,True,1379257
Audiomack - Download New Music,12+,2014-11-19T20:23:53Z,True,1092510
Sonos S1 Controller,4+,2008-10-28T04:17:51Z,True,802223
Radio Javan,12+,2019-02-03T08:00:00Z,True,729185
YouTube Music,17+,2015-11-12T15:56:43Z,True,664473
