App_Name,Content_Rating,Released,Free,Maximum_Installs
Hill Climb Racing,Everyone,"Sep 22, 2012",True,780030129
Dr. Driving,Teen,"Jun 19, 2013",True,437455768
Extreme Car Driving Simulator,Everyone,"Jul 15, 2014",True,390951656
Traffic Rider,Everyone,"Jan 11, 2016",True,361017652
Fun Race 3D,Everyone,"May 28, 2019",True,340370012
Traffic Racer,Everyone,"Nov 12, 2013",True,326314272
"Asphalt 8 Racing Game - Drive, Drift at Real Speed",Everyone 10+,"Aug 20, 2013",True,301248154
Real Racing  3,Everyone,,True,290620964
Street Racing 3D,Everyone,"Aug 10, 2017",True,259458307
Racing in Car 2,Everyone,"Nov 12, 2016",True,245300129
