App_Name,Content_Rating,Released,Free,Maximum_Installs
Perfect365: One-Tap Makeover,Everyone,"Feb 19, 2013",True,53849836
Mirror Plus: Mirror with Light for Makeup & Beauty,Everyone,"Jan 8, 2012",True,41505377
"Beauty Makeup Editor: Beauty Camera, Photo Editor",Everyone,"Jan 20, 2016",True,32076828
Beauty Camera - Selfie Camera,Everyone,"Aug 20, 2011",True,23919811
Fashion Nails 3D Girls Game,Everyone,"Feb 13, 2015",True,16085429
YouCam Nails - Manicure Salon for Custom Nail Art,Everyone,"Oct 28, 2015",True,15838380
Hairy - Men Hairstyles beard & boys photo editor,Everyone,"Nov 15, 2016",True,11666465
Hairstyles step by step for girls,Everyone,"Mar 15, 2019",True,9457429
ヘア&ビューティーサロン検索/ホットペッパービューティー,Everyone,"Dec 21, 2010",True,9434775
Macho - Man makeover app & Photo Editor for Men,Everyone,"Oct 24, 2017",True,9180397
