name,value
Weather by WeatherBug: Live Radar Map & Forecast,33403075
"Windy.com - Weather Radar, Satellite and Forecast",22056323
防災速報 - 地震、津波、豪雨など、災害情報をいち早くお届け,6526240
ArabiaWeather,2768830
"Today Weather - Widget, Forecast, Radar & Alert",2077505
