App_Name,Content_Rating,Released,Free,Maximum_Installs
Magic Tiles 3,Everyone,"Feb 24, 2017",True,398429863
Tiles Hop: EDM Rush!,Teen,"Jan 16, 2018",True,361997020
Dancing Road: Color Ball Run!,Everyone,"Oct 29, 2018",True,174189209
Piano Free - Keyboard with Magic Tiles Music Games,Everyone,"Jun 5, 2014",True,132244836
Piano Kids - Music & Songs,Everyone,"Feb 2, 2016",True,124951546
"Real Guitar Free - Chords, Tabs & Simulator Games",Everyone,"May 17, 2013",True,82107203
Real Piano,Everyone,"Jun 2, 2017",True,71616590
Dream Piano - Music Game,Everyone,"Nov 9, 2017",True,65471240
Rock Hero,Everyone,"Jul 25, 2014",True,64915801
Piano Music Go 2020: EDM Piano Games,Everyone,"Mar 17, 2017",True,60016311
