App_Name,Content_Rating,Released,Free,Maximum_Installs
Trivia Crack,Everyone,"Oct 24, 2013",True,223749728
Brain Test: Tricky Puzzles,Everyone,"Nov 21, 2019",True,135197533
Logo Quiz,Everyone,"May 28, 2012",True,76980094
Brain Test 2: Tricky Stories,Everyone 10+,"May 16, 2020",True,49570439
Free Trivia Game. Questions & Answers. QuizzLand.,Everyone,"Feb 14, 2018",True,42952264
Trivia Crack 2,Everyone,"Oct 23, 2018",True,42842364
Who is? Brain Teaser & Tricky Riddles,Everyone 10+,"Sep 9, 2020",True,41669351
"94% - Quiz, Trivia & Logic",Everyone,"Feb 8, 2015",True,41081363
Quiz: Logo game,Everyone,"Jul 19, 2015",True,39003674
Millionaire 2021 -  Free Trivia Quiz Offline Game,Everyone,"May 23, 2019",True,38238612
